Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20020460;"2046 10"" STACK-A-BOWL";18,80 US$;;4;;;;;
20020480;2048 RIM HEART BOWL;19,84 US$;;8;;;;;
20020510;2051 HEART BOWL;16,00 US$;;8;;;;;
20020540;2054 SMALL PET DISH;19,58 US$;;8;;;;;
20020550;2055 MEDIUM PET DISH;25,20 US$;;8;;;;;
20020560;2056 LARGE PET DISH;16,10 US$;;3;;;;;
20020640;2064 HAND THROWN CEREAL BOWL;15,41 US$;;8;;;;;
20020660;2066 RUFFLED FOOTED ICE CREAM BOWL;18,93 US$;;8;;;;;
20020690;2069 MEDIUM COUPE BOWL;21,54 US$;;6;;;;;
20020770;2077 SMALL SWOOP BOWL;20,05 US$;;8;;;;;
20020790;2079 BERRY BOWL;20,52 US$;;6;;;;;
20020800;2080 EGG BOWL;21,54 US$;;8;;;;;
20020810;2081 WITCH BOWL;19,76 US$;;6;;;;;
20020820;2082 SANTA BOWL;18,22 US$;;6;;;;;
20020830;2083 SNOWMAN BOWL;17,39 US$;;6;;;;;
20020930;2093 ICE CREAM CONE BOWL;11,71 US$;;8;;;;;
20020970;2097 LARGE TILT-A-BOWL;28,40 US$;;6;;;;;
20020980;2098 SMALL TILT-A-BOWL;16,41 US$;;8;;;;;
20020990;2099 DOG PAW BOWL;30,44 US$;;6;;;;;
20021000;2100 CAT PAW BOWL;18,41 US$;;6;;;;;
20021040;"2104 11"" BOWL W/ HANDLES";29,05 US$;;4;;;;;
20021050;2105 SMALL POPCORN BOWL;21,58 US$;;8;;;;;
20021060;2106 LARGE POPCORN BOWL;21,72 US$;;4;;;;;
20021070;2107 WAFFLE CONE BOWL;12,14 US$;;6;;;;;
20021100;2110 YIN YANG BOWL;11,85 US$;;4;;;;;
20021180;2118 SPLATTER BOWL;13,54 US$;;6;;;;;
20021250;2125 OWL BOWL;16,29 US$;;8;;;;;
20021260;2126 SQUIRCLE BOWL;18,21 US$;;6;;;;;
20021270;2127 NOODLE BOWL W/CHOPSTICKS;24,86 US$;;6;;;;;
20021290;2129 BEADED RIM BOWL;16,19 US$;;8;;;;;
20021300;2130 WHIMSY WARE BOWL;18,17 US$;;8;;;;;
20021310;2131 BISQUE FOR BENEFITS CONE BOWL;46,22 US$;;24;;;;;
20021320;2132 BISQUE FOR BENEFITS BENE BOWL;46,22 US$;;24;;;;;
20021330;2133 EVERYDAY SERVING BOWL;37,60 US$;;6;;;;;
20021370;2137 - SNUGGLE BOWL;29,63 US$;;8;;;;;
20021400;2140 - PRISMWARE BOWL;16,13 US$;;8;;;;;
20021410;2141 - PRISMWARE SERVING BOWL;24,81 US$;;6;;;;;
20021420;2142 - BISQUE FOR BENEFITS-TAPERED BOWL;46,22 US$;;24;;;;;
20021430;2143 YARN BOWL;19,75 US$;;6;;;;;
20021450;2145 - BANANA LEAF BOWL;16,27 US$;;6;;;;;
20021470;2147 ROPE BOWL;16,50 US$;;6;;;;;
20021500;2150 - SIMPLY COTTAGE MEDIUM BOWL;15,96 US$;;6;;;;;
20021510;2151 - SIMPLY COTTAGE BFB BOWL;46,22 US$;;24;;;;;
20021520;2152 - CAMPFIRE BOWL;15,57 US$;;6;;;;;
20021540;2154 - UNICORN BOWL;13,67 US$;;4;;;;;
20021550;2155 - BOAT BOWL;11,77 US$;;4;;;;;
20021560;2156 - HOLY GUACAMOLE BOWL;15,56 US$;;8;;;;;
20021570;2157 - DIMPLED BOWL;25,38 US$;;8;;;;;
20021580;2158 - ORGANIC WARE BOWL - SMALL;26,93 US$;;8;;;;;
20021590;2159-ORGANIC WARE BOWL LARGE;22,41 US$;;4;;;;;
20021600;2160 CASCADE BOWL;28,68 US$;;8;;;;;
20030010;3001 OVAL FISH PLATTER;45,82 US$;;12;;;;;
20030030;3003 OVAL COUPE PLATTER;42,30 US$;;6;;;;;
20030040;3004 OVAL COUPE PLATTER;38,00 US$;;4;;;;;
20030090;3009 HEART PLATE;18,90 US$;;6;;;;;
20030100;3010 RIM PIZZA PLATE;24,18 US$;;6;;;;;
20030110;3011 CHRISTMAS TREE PLATE;29,07 US$;;12;;;;;
20030130;3013 SUSHI PLATTER;26,64 US$;;6;;;;;
20030140;3014 SUSHI SAUCE DISH;20,37 US$;;12;;;;;
20030150;3015 TUSCANY COUPE PLATTER;34,86 US$;;6;;;;;
20030180;3018 SQUARE RIM PLATTER;42,89 US$;;6;;;;;
20030190;3019 SERVING TRAY W/2 HANDLES;40,21 US$;;4;;;;;
20030210;3021 ANGLED RIM RECTANGULAR PLATTER;19,71 US$;;4;;;;;
20030220;3022 SWOOP SUSHI RECTANGULAR PLATTER;21,93 US$;;4;;;;;
20030230;3023 OVAL RIM PLATTER;38,85 US$;;4;;;;;
20030270;3027 ROUND SERVING TRAY W/2 HANDLES;37,53 US$;;4;;;;;
20030320;3032 ONE PIECE CHIP & DIP;28,89 US$;;6;;;;;
20030330;3033 DEVILED EGG TRAY;20,86 US$;;6;;;;;
20030430;3043 FLARE SUSHI PLATTER;21,55 US$;;4;;;;;
20030440;3044 RECTANGULAR TRAY;20,89 US$;;4;;;;;
20030540;3054 INDIVIDUAL CHIP & DIP;13,69 US$;;6;;;;;
20030560;3056 SNOWMAN PLATTER;33,46 US$;;4;;;;;
20030590;"3059 15"" PLATTER W/HANDLES";28,82 US$;;4;;;;;
20030600;3060 GINGERBREAD MAN PLATTER;24,00 US$;;4;;;;;
20030620;3062 RECTANGULAR PLATTER;18,58 US$;;4;;;;;
20030630;3063 FLAT HANDLED TRAY;32,90 US$;;6;;;;;
20030670;3067 SQUIRCLE SMALL PLATTER;20,17 US$;;6;;;;;
20030680;3068 SQUIRCLE LARGE PLATTER;23,70 US$;;4;;;;;
20030690;3069 WHIMSY WARE RECTANGULAR PLATTER;24,16 US$;;6;;;;;
20030750;3075 NAUTILUS CHIP & DIP PLATTER;21,73 US$;;6;;;;;
20030770;3077 - STARFISH PLATTER;19,49 US$;;6;;;;;
20030790;3079 - BANANA LEAF PLATTER;20,15 US$;;4;;;;;
20030800;3080 - CACTUS CHIP AND DIP;17,06 US$;;4;;;;;
20030810;3081 - TRUCK PLATTER;12,16 US$;;4;;;;;
