
  Hantverk o Keramikcenter AB
 556507-6253
 Period 2023-09-01 - 2024-09-30   Artikelstatistik 	  Utskrivet 2024-09-03 13:13
 Artikelfilter - Artiklar: GA-  
  Art.nr 	  Benämning 	  Belopp 	  Antal 	  % andel 	    	 
  GA-4150 	  Ugglemugg - 8 st. 	  2 014,99 	  9 	  0,4% 	  
   	 
  GA-5057 	  Liten kruka med fat - 8 st 	  2 462,40 	  9 	  0,4% 	  
   	 
  GA-5146 	  Love Ord - 6 st 	  1 679,00 	  9 	  0,4% 	  
   	 
  GA-5340 	  Spökhuslykta - 4 st. 	  1 958,40 	  9 	  0,4% 	  
   	 
  GA-7020 	  Liten spargris - 6 st 	  1 987,20 	  9 	  0,4% 	  
   	 
  GA-7054 	  Sittande hund - 6 st 	  1 576,00 	  9 	  0,4% 	  
   	 
  GA-8214 	  Mini mönster kakel - 12 st 	  937,73 	  9 	  0,4% 	  
   	 
  GA-1614 	  Salladstallrik utan kant - 24 st. 	  5 349,04 	  8,88 	  0,4% 	  
   	 
  GA-1082 	  Miniskål 10,5 cm - 12 st. 	  2 013,64 	  8 	  0,4% 	  
   	 
  GA-2039 	  Stapelbar skål 15 cm - 8 st. 	  2 232,00 	  8 	  0,4% 	  
   	 
  GA-2098 	  Liten bollskål - 8 st. 	  2 661,80 	  8 	  0,4% 	  
   	 
  GA-2143 	  Garnskål - 6 st 	  3 051,23 	  8 	  0,4% 	  
   	 
  GA-3075 	  Snäck skål - 6 st. 	  3 650,41 	  8 	  0,4% 	  
   	 
  GA-3083 	  Cottage fat 16,5 cm - 6 st. 	  4 115,20 	  8 	  0,4% 	  
   	 
  GA-4208 	  Enhörning mugg - 6 st. 	  2 373,28 	  8 	  0,4% 	  
   	 
  GA-4508 	  Kaffe mugg - 24 st. 	  4 198,40 	  8 	  0,4% 	  
   	 
  GA-5306 	  Val kruka - 8 st 	  1 582,62 	  8 	  0,4% 	  
   	 
  GA-7218 	  Ägg burk - 6 st 	  1 620,00 	  8 	  0,4% 	  
   	 
  GA-7318 	  Elefant - 8 st 	  1 817,60 	  8 	  0,4% 	  
   	 
  GA-7412 	  Sugar Skull - 8 st 	  1 780,65 	  8 	  0,4% 	  
   	 
  GA-1005 	  Tallrik utan kant - 6 st. 	  2 400,96 	  7 	  0,3% 	  
   	 
  GA-1048 	  Äggtallrik - 8 st. 	  2 109,00 	  7 	  0,3% 	  
   	 
  GA-2003 	  Kryddskål 8 cm - 24 st. 	  3 511,20 	  7 	  0,3% 	  
   	 
  GA-2004 	  Skål med fot 16 cm - 8 st. 	  1 712,84 	  7 	  0,3% 	  
   	 
  GA-2005 	  Pastaskål 20 cm - 12 st. 	  4 222,24 	  7 	  0,3% 	  
   	 
  GA-2008 	  Pasta skål 32 cm - 6 st. 	  4 138,40 	  7 	  0,3% 	  
   	 
  GA-2110 	  YingYang skål - 4 st 	  1 805,41 	  7 	  0,3% 	  
   	 
  GA-2132 	  Frukostskål 14 cm - 24 st. 	  6 193,60 	  7 	  0,3% 	  
   	 
  GA-2151 	  Cottage frukostskål - 24 st. 	  5 327,00 	  7 	  0,3% 	  
   	 
  GA-4015 	  Tillbringare 1 liter - 6 st. 	  3 455,84 	  7 	  0,3% 	  
   	 
  GA-4185 	  Burk Mugg - 6 st. 	  1 420,17 	  7 	  0,3% 	  
   	 
  GA-4226 	  Tomte Mugg - 6 st. 	  1 929,44 	  7 	  0,3% 	  
   	 
  GA-5334 	  Liten kruka - bikupa - 8 st 	  1 450,40 	  7 	  0,3% 	  
   	 
  GA-5398 	  Vågig kruka - 6 st 	  1 652,00 	  7 	  0,3% 	  
   	 
  GA-5410 	  Pumpa lykta - 4 st. 	  1 463,97 	  7 	  0,3% 	  
   	 
  GA-7103 	  Liten rund burk - 12 st 	  1 623,99 	  7 	  0,3% 	  
   	 
  GA-7246 	  Panda - 8 st 	  1 713,60 	  7 	  0,3% 	  
   	 
  GA-5412 	  Cottage kruka - 6 st 	  1 390,04 	  6,83 	  0,3% 	  
   	 
  GA-1004 	  Salladstallrik utan kant - 6 st. 	  1 314,00 	  6 	  0,3% 	  
   	 
  GA-2018 	  Liten hundskål 15 cm - 12 st. 	  2 682,60 	  6 	  0,3% 	  
