
  Hantverk o Keramikcenter AB
 556507-6253
 Period 2023-09-01 - 2024-09-30   Artikelstatistik 	  Utskrivet 2024-09-03 13:13
 Artikelfilter - Artiklar: GA-  
  Art.nr 	  Benämning 	  Belopp 	  Antal 	  % andel 	    	 
  GA-5319 	  Lövlykta runt - 4 st. 	  568,00 	  2 	  0,1% 	  
   	 
  GA-5327 	  Mini giraff - 12 st 	  178,03 	  2 	  0,1% 	  
   	 
  GA-5332 	  Älva lykta - 4 st 	  357,94 	  2 	  0,1% 	  
   	 
  GA-5347 	  Ringhållare sjöungfru - 8 st. 	  470,40 	  2 	  0,1% 	  
   	 
  GA-5367 	  Julgranshänge jultomte - 24 st. 	  684,00 	  2 	  0,1% 	  
   	 
  GA-5372 	  Tomtelykta med gran - 4 st. 	  616,00 	  2 	  0,1% 	  
   	 
  GA-5401 	  Vas Regnboge - 8 st. 	  550,00 	  2 	  0,1% 	  
   	 
  GA-5407 	  Ekollon lykta - 4 st 	  508,00 	  2 	  0,1% 	  
   	 
  GA-5423 	  Måne lykta - 4 st 	  766,00 	  2 	  0,1% 	  
   	 
  GA-5431 	  Stenhög - 6 st 	  726,00 	  2 	  0,1% 	  
   	 
  GA-7026 	  Häst - 6 st 	  574,40 	  2 	  0,1% 	  
   	 
  GA-7038 	  Hund - 12 st 	  377,60 	  2 	  0,1% 	  
   	 
  GA-7039 	  Katt 9 cm - 12 st 	  332,00 	  2 	  0,1% 	  
   	 
  GA-7076 	  Liten hjärtburk - 12 st 	  1 022,40 	  2 	  0,1% 	  
   	 
  GA-7139 	  T-Rex - 6 st 	  696,00 	  2 	  0,1% 	  
   	 
  GA-7149 	  Stor gris sparbössa - 2 st 	  451,96 	  2 	  0,1% 	  
   	 
  GA-7164 	  Pingvin - 12 st 	  398,00 	  2 	  0,1% 	  
   	 
  GA-7219 	  Mjukglass burk - 6 st 	  359,96 	  2 	  0,1% 	  
   	 
  GA-7221 	  Tomtefar - 2 st 	  370,49 	  2 	  0,1% 	  
   	 
  GA-7244 	  Katt 11 cm - 8 st 	  353,60 	  2 	  0,1% 	  
   	 
  GA-7255 	  Stor tomte - 1 st 	  488,00 	  2 	  0,1% 	  
   	 
  GA-7269 	  Muffins sparbössa - 8 st 	  472,20 	  2 	  0,1% 	  
   	 
  GA-7286 	  Uggla - 8 st 	  494,40 	  2 	  0,1% 	  
   	 
  GA-7297 	  Kardinalfågel - 8 st 	  515,20 	  2 	  0,1% 	  
   	 
  GA-7321 	  Nyckelpiga - 8 st 	  458,00 	  2 	  0,1% 	  
   	 
  GA-7338 	  Liten pegasus - 8 st 	  464,00 	  2 	  0,1% 	  
   	 
  GA-7351 	  Gullig uggla sparbössa - 6 st 	  412,76 	  2 	  0,1% 	  
   	 
  GA-7360 	  Räv sparbössa - 6 st. 	  678,48 	  2 	  0,1% 	  
   	 
  GA-7369 	  Liten häst - 8 st 	  468,00 	  2 	  0,1% 	  
   	 
  GA-7381 	  Liten Igelkott - 6 st 	  406,00 	  2 	  0,1% 	  
   	 
  GA-7398 	  Får - 8 st 	  398,40 	  2 	  0,1% 	  
   	 
  GA-7399 	  Val - 8 st 	  440,00 	  2 	  0,1% 	  
   	 
  GA-7414 	  Havssköldpadda 10 cm - 8 st 	  444,00 	  2 	  0,1% 	  
   	 
  GA-7423 	  Sugarskull sparbössa - 6 st 	  579,96 	  2 	  0,1% 	  
   	 
  GA-7424 	  Liten Pumpa med ansikte - 8 st. 	  391,00 	  2 	  0,1% 	  
   	 
  GA-7425 	  Chihuahua - 8 st 	  390,00 	  2 	  0,1% 	  
   	 
  GA-7439 	  Narval - 8 st 	  430,00 	  2 	  0,1% 	  
   	 
  GA-7444 	  Flamingo - 8 st 	  406,00 	  2 	  0,1% 	  
   	 
  GA-7445 	  Lama - 8 st 	  382,00 	  2 	  0,1% 	  
   	 
  GA-7447 	  Lama sparbössa - 6 st 	  515,95 	  2 	  0,1% 	  
   	 
  GA-7450 	  Noshörning - 8 st 	  238,02 	  2 	  0,1% 	  
   	 
  GA-7452 	  Örn - 8 st 	  392,04 	  2 	  0,1% 	  
   	 
  GA-7465 	  Tupp - 8 st. 	  388,04 	  2 	  0,1% 	  
   	 
  GA-7493 	  Liten Pumpa - 8 st. 	  534,00 	  2 	  0,1% 	  
   	 
  GA-8157 	  Pumpa - 12 st 	  110,00 	  2 	  0,1% 	  
   	 
  GA-8160 	  Hjärta - 12 st 	  156,00 	  2 	  0,1% 	  
   	 
  GA-8161 	  Prästkrage - 12 st 	  220,00 	  2 	  0,1% 	  
   	 
  GA-8180 	  Fjäril - 12 st 	  416,00 	  2 	  0,1% 	  
   	 
  GA-8189 	  Hjärta - 12 st 	  353,80 	  2 	  0,1% 	  
   	 
  GA-8195 	  Muffin - 12 st 	  214,00 	  2 	  0,1% 	  
   	 
  GA-8211 	  Lönnblad - 12 st 	  258,00 	  2 	  0,1% 	  
   	 
  GA-1603 	  Salladstallrik utan kant - 12 st. 	  653,17 	  1,88 	  0,0% 	  
   	 
  GA-5293 	  Mini kanin - 12 st 	  195,83 	  1,83 	  0,0% 	  
   	 
  GA-1602 	  Rund fat med kant - 6 st 	  402,00 	  1 	  0,0% 	  
   	 
  GA-2009 	  Stor pastaskål 37 cm - 4 st 	  547,00 	  1 	  0,0% 	  
   	 
  GA-2023 	  Skål med hål - 6 st. 	  393,00 	  1 	  0,0% 	  
   	 
  GA-2055 	  Stor djurskål - 8 st. 	  439,00 	  1 	  0,0% 	  
   	 
  GA-2137 	  Liten skål med handtag - 8 st 	  468,00 	  1 	  0,0% 	  
   	 
  GA-2145 	  Bananblad serveringsskål - 6 st. 	  323,00 	  1 	  0,0% 	  
   	 
  GA-2147 	  Repskål - 6 st. 	  231,99 	  1 	  0,0% 	  
   	 
  GA-3010 	  Pizza Tallrik - 6 st. 	  505,75 	  1 	  0,0% 	  
   	 
  GA-3056 	  Snögubbefat - 4 st. 	  378,96 	  1 	  0,0% 	  
   	 
  GA-3058 	  Muffins fat - 6 st 	  379,00 	  1 	  0,0% 	  
   	 
  GA-3101 	  Stort rund fat - 6 st 	  764,00 	  1 	  0,0% 	  
   	 
  GA-4033 	  Ölmugg - 8 st. 	  331,00 	  1 	  0,0% 	  
   	 
  GA-4045 	  Stor burk med lock - 4 st. 	  447,00 	  1 	  0,0% 	  
   	 
  GA-4046 	  Extrastor burk med lock - 2 st. 	  365,00 	  1 	  0,0% 	  
   	 
  GA-4047 	  Tekanna - 6 st. 	  507,98 	  1 	  0,0% 	  
   	 
  GA-4050 	  Salt & peppar - 8 st. 	  225,00 	  1 	  0,0% 	  
   	 
  GA-4057 	  Te för en - 6 st. 	  380,05 	  1 	  0,0% 	  
   	 
  GA-4074 	  Välvd mugg med fot - 8 st. 	  261,00 	  1 	  0,0% 	  
   	 
  GA-4089 	  Sejdel - 8 st. 	  313,00 	  1 	  0,0% 	  
   	 
  GA-4099 	  Vin Glas - 8 st. 	  405,00 	  1 	  0,0% 	  
   	 
  GA-4119 	  Kakmugg - 8 st. 	  228,65 	  1 	  0,0% 	  
   	 
  GA-4120 	  Hund burk - 4 st. 	  361,60 	  1 	  0,0% 	  
   	 
  GA-4121 	  Katt burk - 4 st. 	  183,00 	  1 	  0,0% 	  
   	 
  GA-4158 	  Godisburk - 6 st. 	  197,30 	  1 	  0,0% 	  
   	 
  GA-4171 	  Cylinder burk - 6 st. 	  543,00 	  1 	  0,0% 	  
   	 
  GA-4186 	  Hink med handtag - 4 st. 	  289,00 	  1 	  0,0% 	  
   	 
  GA-4187 	  Döskalle Mugg - 6 st. 	  245,00 	  1 	  0,0% 	  
   	 
  GA-4189 	  Ananas burk - 4 st. 	  189,00 	  1 	  0,0% 	  
   	 
  GA-4230 	  Prisma hög mugg - 8 st. 	  269,04 	  1 	  0,0% 	  
   	 
  GA-5037 	  Penhållare - 12 st. 	  437,04 	  1 	  0,0% 	  
   	 
  GA-5066 	  Kakelplatta ca 20x 20 cm - 24 st. 	  715,00 	  1 	  0,0% 	  
   	 
  GA-5081 	  Ängelhänge - 24 st 	  266,00 	  1 	  0,0% 	  
   	 
  GA-5120 	  Julgranshänge, snöman - 24 st. 	  274,00 	  1 	  0,0% 	  
   	 
  GA-5210 	  Mini hund - 12 st 	  73,00 	  1 	  0,0% 	  
   	 
  GA-5211 	  Mini katt - 12 st 	  73,00 	  1 	  0,0% 	  
   	 
  GA-5213 	  Mini Uggla - 12 st 	  113,60 	  1 	  0,0% 	  
   	 
  GA-5214 	  Mini Pingvin - 12 st 	  106,40 	  1 	  0,0% 	  
   	 
  GA-5215 	  Mini Hjärta - 12 st 	  73,00 	  1 	  0,0% 	  
   	 
  GA-5228 	  Rund skylt 10 cm - 24 st 	  297,88 	  1 	  0,0% 	  
   	 
  GA-5244 	  Mini haj - 12 st 	  139,00 	  1 	  0,0% 	  
   	 
  GA-5255 	  Mini trollkarl - 12 st 	  83,05 	  1 	  0,0% 	  
   	 
  GA-5261 	  Mini Sugar Skull - 12 st 	  113,63 	  1 	  0,0% 	  
   	 
  GA-5262 	  Mini present - 12 st 	  126,00 	  1 	  0,0% 	  
   	 
  GA-5298 	  Mini pumpa - 12 st 	  115,00 	  1 	  0,0% 	  
   	 
  GA-5300 	  Mini äpple - 12 st 	  120,00 	  1 	  0,0% 	  
   	 
  GA-5303 	  Mussellykta - 4 st. 	  274,01 	  1 	  0,0% 	  
   	 
  GA-5313 	  Lövlykta - 4 st. 	  268,00 	  1 	  0,0% 	  
   	 
  GA-5326 	  Mini elefant - 12 st 	  99,00 	  1 	  0,0% 	  
   	 
  GA-5335 	  Mini Humla - 12 st 	  281,00 	  1 	  0,0% 	  
   	 
  GA-5337 	  Jultruck hänge - 24 st 	  401,00 	  1 	  0,0% 	  
   	 
  GA-5419 	  Tomte med Stjärna lykta - 4 st 	  347,00 	  1 	  0,0% 	  
   	 
  GA-5424 	  Tomtelykta med kruka - 4 st. 	  407,00 	  1 	  0,0% 	  
   	 
  GA-6419 	  Vitt lock till GA-4154 - 6 st 	  248,38 	  1 	  0,0% 	  
   	 
  GA-7005 	  Frog Collectible - 12 st 	  223,00 	  1 	  0,0% 	  
   	 
  GA-7043 	  Älva på måne - 8 st 	  149,00 	  1 	  0,0% 	  
   	 
  GA-7053 	  Liten enhörning - 12 st 	  232,80 	  1 	  0,0% 	  
   	 
  GA-7092 	  Katt sparbössa - 6 st 	  228,00 	  1 	  0,0% 	  
   	 
  GA-7178 	  Burk med hjärta - 8 st 	  447,00 	  1 	  0,0% 	  
   	 
  GA-7185 	  Döskalle sparbössa - 6 st 	  392,04 	  1 	  0,0% 	  
   	 
  GA-7193 	  Dörrskylt hjärta - 8 st 	  299,04 	  1 	  0,0% 	  
   	 
  GA-7204 	  Söt Drake - 12 st 	  189,00 	  1 	  0,0% 	  
   	 
  GA-7226 	  Motorcykel sparbössa - 6 st 	  228,00 	  1 	  0,0% 	  
   	 
  GA-7274 	  Hamburgare sparbössa - 6 st. 	  328,02 	  1 	  0,0% 	  
   	 
  GA-7293 	  Mjukglass sparbössa - 6 st 	  265,00 	  1 	  0,0% 	  
   	 
  GA-7311 	  Biggy T-Rex Bank - 2 st 	  211,00 	  1 	  0,0% 	  
   	 
  GA-7319 	  Kyckling - 8 st 	  169,00 	  1 	  0,0% 	  
   	 
  GA-7324 	  Benjamin monster sparbössa - 6 st 	  240,96 	  1 	  0,0% 	  
   	 
  GA-7326 	  Delfin sparbössa - 6 st 	  293,04 	  1 	  0,0% 	  
   	 
  GA-7335 	  Giraff - 8 st 	  208,00 	  1 	  0,0% 	  
   	 
  GA-7355 	  Liten prinsessa - 8 st 	  119,00 	  1 	  0,0% 	  
   	 
  GA-7373 	  Stor kanin sparbössa - 6 st 	  294,03 	  1 	  0,0% 	  
   	 
  GA-7432 	  Party Pooper - 8 st 	  171,20 	  1 	  0,0% 	  
   	 
  GA-7451 	  Björn - 8 st 	  221,00 	  1 	  0,0% 	  
   	 
  GA-7454 	  Pepparkaksgubbe 27 cm - 8 st. 	  215,04 	  1 	  0,0% 	  
   	 
  GA-7455 	  Hare - 6 st 	  186,01 	  1 	  0,0% 	  
   	 
  GA-7497 	  Axolotl - 8 st 	  273,00 	  1 	  0,0% 	  
   	 
  GA-8140 	  Fotboll - 12 st 	  211,97 	  1 	  0,0% 	  
   	 
  GA-8143 	  Sköldpadda - 12 st 	  108,00 	  1 	  0,0% 	  
   	 
  GA-8149 	  Teddy - 12 st 	  108,00 	  1 	  0,0% 	  
   	 
  GA-8190 	  Hjärta platt - 12 st 	  113,96 	  1 	  0,0% 	  
   	 
  GA-8206 	  Mustasch - 12 st 	  48,95 	  1 	  0,0% 	  
   	 
  GA-8209 	  Splash - 12 st 	  68,00 	  1 	  0,0% 	  
   	 
  GA-8210 	  Ekblad - 12 st 	  92,95 	  1 	  0,0% 	  
   	 
  GA-4069 	  Mugg med hund - 8 st. 	  0,00 	  0 	  0,0% 	  
   	 
  GA-5191 	  Platt och rund julgranskula - 12 st 	  0,00 	  0 	  0,0% 	  
   	 
-------------------------
